city,sublocation,url,listings
Dubai,Jumeirah Village Circle (JVC),https://www.bayut.com/for-sale/property/dubai/jumeirah-village-circle-jvc/,"12,380"
Dubai,Business Bay,https://www.bayut.com/for-sale/property/dubai/business-bay/,"6,458"
Dubai,Dubai Land Residence Complex,https://www.bayut.com/for-sale/property/dubai/dubai-residence-complex/,"4,938"
Dubai,Dubailand,https://www.bayut.com/for-sale/property/dubai/dubailand/,"4,389"
Dubai,Al Furjan,https://www.bayut.com/for-sale/property/dubai/al-furjan/,"3,778"
Dubai,Majan,https://www.bayut.com/for-sale/property/dubai/majan/,"3,604"
Dubai,Downtown Dubai,https://www.bayut.com/for-sale/property/dubai/downtown-dubai/,"3,275"
Dubai,Dubai Islands,https://www.bayut.com/for-sale/property/dubai/dubai-islands/,"3,228"
Dubai,Dubai Marina,https://www.bayut.com/for-sale/property/dubai/dubai-marina/,"3,053"
Dubai,Dubai Sports City,https://www.bayut.com/for-sale/property/dubai/dubai-sports-city/,"2,854"
Dubai,Dubai Hills Estate,https://www.bayut.com/for-sale/property/dubai/dubai-hills-estate/,"2,725"
Dubai,Jumeirah Village Triangle (JVT),https://www.bayut.com/for-sale/property/dubai/jumeirah-village-triangle-jvt/,"2,719"
Dubai,Dubai South,https://www.bayut.com/for-sale/property/dubai/dubai-south/,"2,719"
Dubai,Arjan,https://www.bayut.com/for-sale/property/dubai/arjan/,"2,645"
Dubai,Dubai Creek Harbour,https://www.bayut.com/for-sale/property/dubai/dubai-creek-harbour/,"2,557"
Dubai,Dubai Investment Park (DIP),https://www.bayut.com/for-sale/property/dubai/dubai-investment-park-dip/,"2,326"
Dubai,Palm Jumeirah,https://www.bayut.com/for-sale/property/dubai/palm-jumeirah/,"2,016"
Dubai,Dubai Production City (IMPZ),https://www.bayut.com/for-sale/property/dubai/dubai-production-city-impz/,"1,986"
Dubai,Sobha Hartland,https://www.bayut.com/for-sale/property/dubai/sobha-hartland/,"1,949"
Dubai,Dubai Science Park,https://www.bayut.com/for-sale/property/dubai/dubai-science-park/,"1,900"
Dubai,Jumeirah Lake Towers (JLT),https://www.bayut.com/for-sale/property/dubai/jumeirah-lake-towers-jlt/,"1,752"
Dubai,DAMAC Hills 2 (Akoya by DAMAC),https://www.bayut.com/for-sale/property/dubai/damac-hills-2-akoya-by-damac/,"1,705"
Dubai,Al Jaddaf,https://www.bayut.com/for-sale/property/dubai/al-jaddaf/,"1,626"
Dubai,Dubai Harbour,https://www.bayut.com/for-sale/property/dubai/dubai-harbour/,"1,591"
Dubai,Mohammed Bin Rashid City,https://www.bayut.com/for-sale/property/dubai/mohammed-bin-rashid-city/,"1,574"
Dubai,International City,https://www.bayut.com/for-sale/property/dubai/international-city/,"1,471"
Dubai,Dubai Silicon Oasis (DSO),https://www.bayut.com/for-sale/property/dubai/dubai-silicon-oasis-dso/,"1,344"
Dubai,DAMAC Hills,https://www.bayut.com/for-sale/property/dubai/damac-hills/,"1,309"
Dubai,Motor City,https://www.bayut.com/for-sale/property/dubai/motor-city/,"1,305"
Dubai,Meydan City,https://www.bayut.com/for-sale/property/dubai/meydan-city/,"1,199"
Dubai,Al Satwa,https://www.bayut.com/for-sale/property/dubai/al-satwa/,"1,111"
Dubai,Bukadra,https://www.bayut.com/for-sale/property/dubai/bukadra/,"1,108"
Dubai,Dubai Maritime City,https://www.bayut.com/for-sale/property/dubai/dubai-maritime-city/,"1,078"
Dubai,Culture Village (Jaddaf Waterfront),https://www.bayut.com/for-sale/property/dubai/culture-village/,"1,076"
Dubai,DAMAC Lagoons,https://www.bayut.com/for-sale/property/dubai/damac-lagoons/,"1,069"
Dubai,City of Arabia,https://www.bayut.com/for-sale/property/dubai/city-of-arabia/,"1,038"
Dubai,Al Wasl,https://www.bayut.com/for-sale/property/dubai/al-wasl/,995
Dubai,Town Square,https://www.bayut.com/for-sale/property/dubai/town-square/,942
Dubai,The Valley by Emaar,https://www.bayut.com/for-sale/property/dubai/the-valley-by-emaar/,880
Dubai,Wasl Gate,https://www.bayut.com/for-sale/property/dubai/wasl-gate/,783
Dubai,Dubai Studio City,https://www.bayut.com/for-sale/property/dubai/dubai-studio-city/,749
Dubai,Jumeirah Beach Residence (JBR),https://www.bayut.com/for-sale/property/dubai/jumeirah-beach-residence-jbr/,724
Dubai,Jebel Ali,https://www.bayut.com/for-sale/property/dubai/jebel-ali/,679
Dubai,Mina Rashid,https://www.bayut.com/for-sale/property/dubai/mina-rashid/,647
Dubai,Sheikh Zayed Road,https://www.bayut.com/for-sale/property/dubai/sheikh-zayed-road/,521
Dubai,Discovery Gardens,https://www.bayut.com/for-sale/property/dubai/discovery-gardens/,508
Dubai,Liwan,https://www.bayut.com/for-sale/property/dubai/liwan/,495
Dubai,Arabian Ranches 3,https://www.bayut.com/for-sale/property/dubai/arabian-ranches-3/,490
Dubai,Tilal Al Ghaf,https://www.bayut.com/for-sale/property/dubai/tilal-al-ghaf/,481
Dubai,Expo City,https://www.bayut.com/for-sale/property/dubai/expo-city/,472
Dubai,Za'abeel,https://www.bayut.com/for-sale/property/dubai/za-abeel/,464
Dubai,Ghaf Woods,https://www.bayut.com/for-sale/property/dubai/dubailand/ghaf-woods/,444
Dubai,Nad Al Sheba,https://www.bayut.com/for-sale/property/dubai/nad-al-sheba/,438
Dubai,Mudon,https://www.bayut.com/for-sale/property/dubai/mudon/,409
Dubai,Umm Suqeim,https://www.bayut.com/for-sale/property/dubai/umm-suqeim/,397
Dubai,The Oasis by Emaar,https://www.bayut.com/for-sale/property/dubai/the-oasis-by-emaar/,362
Dubai,Jumeirah,https://www.bayut.com/for-sale/property/dubai/jumeirah/,323
Dubai,Jumeirah Golf Estates,https://www.bayut.com/for-sale/property/dubai/jumeirah-golf-estates/,322
Dubai,The Springs,https://www.bayut.com/for-sale/property/dubai/the-springs/,279
Dubai,Haven by Aldar,https://www.bayut.com/for-sale/property/dubai/dubailand/haven-by-aldar/,278
Dubai,DIFC,https://www.bayut.com/for-sale/property/dubai/difc/,275
Dubai,Barsha Heights (Tecom),https://www.bayut.com/for-sale/property/dubai/tecom/,269
Dubai,The Acres,https://www.bayut.com/for-sale/property/dubai/the-acres/,262
Dubai,Bluewaters Island,https://www.bayut.com/for-sale/property/dubai/bluewaters-island/,258
Dubai,Arabian Ranches,https://www.bayut.com/for-sale/property/dubai/arabian-ranches/,239
Dubai,DAMAC Islands,https://www.bayut.com/for-sale/property/dubai/dubailand/damac-islands/,233
Dubai,Palm Jebel Ali,https://www.bayut.com/for-sale/property/dubai/palm-jebel-ali/,216
Dubai,Bur Dubai,https://www.bayut.com/for-sale/property/dubai/bur-dubai/,216
Dubai,Dubai Industrial City,https://www.bayut.com/for-sale/property/dubai/dubai-industrial-city/,213
Dubai,Mirdif,https://www.bayut.com/for-sale/property/dubai/mirdif/,197
Dubai,Jumeirah Park,https://www.bayut.com/for-sale/property/dubai/jumeirah-park/,189
Dubai,Falcon City of Wonders,https://www.bayut.com/for-sale/property/dubai/falcon-city-of-wonders/,181
Dubai,The Views,https://www.bayut.com/for-sale/property/dubai/the-views/,167
Dubai,Jumeirah Islands,https://www.bayut.com/for-sale/property/dubai/jumeirah-islands/,161
Dubai,Athlon by Aldar,https://www.bayut.com/for-sale/property/dubai/athlon-by-aldar/,158
Dubai,Dubai Design District,https://www.bayut.com/for-sale/property/dubai/dubai-design-district/,149
Dubai,The Greens,https://www.bayut.com/for-sale/property/dubai/the-greens/,145
Dubai,Remraam,https://www.bayut.com/for-sale/property/dubai/remraam/,143
Dubai,Ras Al Khor,https://www.bayut.com/for-sale/property/dubai/ras-al-khor/,130
Dubai,Reem,https://www.bayut.com/for-sale/property/dubai/reem/,129
Dubai,The Meadows,https://www.bayut.com/for-sale/property/dubai/the-meadows/,124
Dubai,Al Sufouh,https://www.bayut.com/for-sale/property/dubai/al-sufouh/,115
Dubai,Dubai Internet City,https://www.bayut.com/for-sale/property/dubai/dubai-internet-city/,114
Dubai,The Villa,https://www.bayut.com/for-sale/property/dubai/the-villa/,111
Dubai,Living Legends,https://www.bayut.com/for-sale/property/dubai/living-legends/,107
Dubai,Al Barari,https://www.bayut.com/for-sale/property/dubai/al-barari/,101
Dubai,The World Islands,https://www.bayut.com/for-sale/property/dubai/the-world-islands/,87
Dubai,Al Barsha,https://www.bayut.com/for-sale/property/dubai/al-barsha/,81
Dubai,Arabian Ranches 2,https://www.bayut.com/for-sale/property/dubai/arabian-ranches-2/,78
Dubai,Al Quoz,https://www.bayut.com/for-sale/property/dubai/al-quoz/,73
Dubai,Dubai Media City,https://www.bayut.com/for-sale/property/dubai/dubai-media-city/,70
Dubai,Serena,https://www.bayut.com/for-sale/property/dubai/serena/,67
Dubai,Green Community,https://www.bayut.com/for-sale/property/dubai/green-community/,54
Dubai,The Lakes,https://www.bayut.com/for-sale/property/dubai/the-lakes/,45
Dubai,Pearl Jumeirah,https://www.bayut.com/for-sale/property/dubai/pearl-jumeirah/,39
Dubai,The Hills,https://www.bayut.com/for-sale/property/dubai/the-hills/,31
Dubai,Dubai Festival City,https://www.bayut.com/for-sale/property/dubai/dubai-festival-city/,28
Dubai,World Trade Centre,https://www.bayut.com/for-sale/property/dubai/world-trade-centre/,24
Dubai,Muhaisnah,https://www.bayut.com/for-sale/property/dubai/muhaisnah/,24
Dubai,Deira,https://www.bayut.com/for-sale/property/dubai/deira/,17
Dubai,Emirates Hills,https://www.bayut.com/for-sale/property/dubai/emirates-hills/,16
Dubai,Dubai Waterfront,https://www.bayut.com/for-sale/property/dubai/dubai-waterfront/,11
Dubai,Jumeirah Heights,https://www.bayut.com/for-sale/property/dubai/jumeirah-heights/,10
Dubai,Al Mamzar,https://www.bayut.com/for-sale/property/dubai/al-mamzar/,9
Dubai,Al Mina,https://www.bayut.com/for-sale/property/dubai/al-mina/,7
Dubai,Al Warqaa,https://www.bayut.com/for-sale/property/dubai/al-warqaa/,7
Dubai,Umm Al Sheif,https://www.bayut.com/for-sale/property/dubai/umm-al-sheif/,7
Dubai,Liwan 2,https://www.bayut.com/for-sale/property/dubai/liwan-2/,7
Dubai,Nad Al Hamar,https://www.bayut.com/for-sale/property/dubai/nad-al-hamar/,7
Dubai,Al Twar,https://www.bayut.com/for-sale/property/dubai/al-twar/,6
Dubai,Al Khawaneej,https://www.bayut.com/for-sale/property/dubai/al-khawaneej/,5
Dubai,Al Mizhar,https://www.bayut.com/for-sale/property/dubai/al-mizhar/,5
Dubai,Al Qusais,https://www.bayut.com/for-sale/property/dubai/al-qusais/,4
Dubai,Al Safa,https://www.bayut.com/for-sale/property/dubai/al-safa/,4
Dubai,Al Rashidiya,https://www.bayut.com/for-sale/property/dubai/al-rashidiya/,3
Dubai,Hadaeq Sheikh Mohammed Bin Rashid,https://www.bayut.com/for-sale/property/dubai/hadaeq-sheikh-mohammed-bin-rashid/,3
Dubai,Al Manara,https://www.bayut.com/for-sale/property/dubai/al-manara/,3
Dubai,Al Jafiliya,https://www.bayut.com/for-sale/property/dubai/al-jafiliya/,2
Dubai,Me'aisem 1,https://www.bayut.com/for-sale/property/dubai/me-aisem-1/,2
Dubai,Al Nahda (Dubai),https://www.bayut.com/for-sale/property/dubai/al-nahda-dubai/,1
Dubai,The Sustainable City,https://www.bayut.com/for-sale/property/dubai/the-sustainable-city/,1
Dubai,Al Garhoud,https://www.bayut.com/for-sale/property/dubai/al-garhoud/,1
Dubai,Al Warsan,https://www.bayut.com/for-sale/property/dubai/al-warsan/,1
Dubai,Al Awir,https://www.bayut.com/for-sale/property/dubai/al-awir/,1
Dubai,Al Karama,https://www.bayut.com/for-sale/property/dubai/al-karama/,1
Abu Dhabi,Al Reem Island,https://www.bayut.com/for-sale/property/abu-dhabi/al-reem-island/,"8,617"
Abu Dhabi,Yas Island,https://www.bayut.com/for-sale/property/abu-dhabi/yas-island/,899
Abu Dhabi,Al Maryah Island,https://www.bayut.com/for-sale/property/abu-dhabi/al-maryah-island/,679
Abu Dhabi,Saadiyat Island,https://www.bayut.com/for-sale/property/abu-dhabi/saadiyat-island/,634
Abu Dhabi,Al Shamkha,https://www.bayut.com/for-sale/property/abu-dhabi/al-shamkha/,335
Abu Dhabi,Zayed City,https://www.bayut.com/for-sale/property/abu-dhabi/zayed-city/,252
Abu Dhabi,Al Raha Beach,https://www.bayut.com/for-sale/property/abu-dhabi/al-raha-beach/,126
Abu Dhabi,Fahid Island,https://www.bayut.com/for-sale/property/abu-dhabi/fahid-island/,113
Abu Dhabi,Al Reef,https://www.bayut.com/for-sale/property/abu-dhabi/al-reef/,110
Abu Dhabi,Al Ghadeer,https://www.bayut.com/for-sale/property/abu-dhabi/al-ghadeer/,98
Abu Dhabi,Al Hudayriat Island,https://www.bayut.com/for-sale/property/abu-dhabi/al-hudayriat-island/,94
Abu Dhabi,Masdar City,https://www.bayut.com/for-sale/property/abu-dhabi/masdar-city/,86
Abu Dhabi,Al Jubail Island,https://www.bayut.com/for-sale/property/abu-dhabi/al-jubail-island/,70
Abu Dhabi,Al Raha Gardens,https://www.bayut.com/for-sale/property/abu-dhabi/al-raha-gardens/,43
Abu Dhabi,Khalifa City,https://www.bayut.com/for-sale/property/abu-dhabi/khalifa-city/,30
Abu Dhabi,Rabdan,https://www.bayut.com/for-sale/property/abu-dhabi/rabdan/,25
Abu Dhabi,Al Jurf,https://www.bayut.com/for-sale/property/abu-dhabi/al-jurf/,25
Abu Dhabi,The Marina,https://www.bayut.com/for-sale/property/abu-dhabi/the-marina/,21
Abu Dhabi,Al Muntazah,https://www.bayut.com/for-sale/property/abu-dhabi/al-muntazah/,20
Abu Dhabi,Baniyas,https://www.bayut.com/for-sale/property/abu-dhabi/baniyas/,9
Abu Dhabi,Madinat Al Riyad,https://www.bayut.com/for-sale/property/abu-dhabi/madinat-al-riyadh/,7
Abu Dhabi,Al Samha,https://www.bayut.com/for-sale/property/abu-dhabi/al-samha/,7
Abu Dhabi,Shakhbout City,https://www.bayut.com/for-sale/property/abu-dhabi/shakhbout-city/,7
Abu Dhabi,Ramhan Island,https://www.bayut.com/for-sale/property/abu-dhabi/ramhan-island/,6
Abu Dhabi,Mohamed Bin Zayed City,https://www.bayut.com/for-sale/property/abu-dhabi/mohammed-bin-zayed-city/,5
Abu Dhabi,Al Sila,https://www.bayut.com/for-sale/property/abu-dhabi/al-sila/,4
Abu Dhabi,Nurai Island,https://www.bayut.com/for-sale/property/abu-dhabi/nurai-island/,3
Abu Dhabi,Nareel Island,https://www.bayut.com/for-sale/property/abu-dhabi/nareel-island/,3
Abu Dhabi,Al Bateen,https://www.bayut.com/for-sale/property/abu-dhabi/al-bateen/,2
Abu Dhabi,Al Rahbah,https://www.bayut.com/for-sale/property/abu-dhabi/al-rahbah/,2
Abu Dhabi,Al Qurm,https://www.bayut.com/for-sale/property/abu-dhabi/al-qurm/,2
Abu Dhabi,Al Gurm,https://www.bayut.com/for-sale/property/abu-dhabi/al-gurm/,1
Abu Dhabi,Hadbat Al Zaafran,https://www.bayut.com/for-sale/property/abu-dhabi/hadbat-al-zaafran/,1
Abu Dhabi,Al Nahdah,https://www.bayut.com/for-sale/property/abu-dhabi/al-nahdah/,1
Abu Dhabi,Al Manhal,https://www.bayut.com/for-sale/property/abu-dhabi/al-manhal/,1
Abu Dhabi,Marina Village,https://www.bayut.com/for-sale/property/abu-dhabi/marina-village/,1
Abu Dhabi,Al Nahyan,https://www.bayut.com/for-sale/property/abu-dhabi/al-nahyan/,1
Abu Dhabi,Al Khalidiyah,https://www.bayut.com/for-sale/property/abu-dhabi/al-khalidiyah/,1
Sharjah,Tilal City,https://www.bayut.com/for-sale/property/sharjah/tilal-city/,"10,610"
Sharjah,Muwaileh,https://www.bayut.com/for-sale/property/sharjah/muwaileh/,"8,785"
Sharjah,Aljada,https://www.bayut.com/for-sale/property/sharjah/aljada/,"6,837"
Sharjah,Ajmal Makan City - Sharjah Waterfront,https://www.bayut.com/for-sale/property/sharjah/sharjah-waterfront-city/,"6,045"
Sharjah,Al Khan,https://www.bayut.com/for-sale/property/sharjah/al-khan/,"3,369"
Sharjah,Barashi,https://www.bayut.com/for-sale/property/sharjah/barashi/,"3,353"
Sharjah,Al Sehma,https://www.bayut.com/for-sale/property/sharjah/al-sehma/,"2,685"
Sharjah,Sharjah Garden City,https://www.bayut.com/for-sale/property/sharjah/sharjah-garden-city/,"2,279"
Sharjah,Al Mamzar,https://www.bayut.com/for-sale/property/sharjah/al-mamzar/,"1,691"
Sharjah,Al Rahmaniya,https://www.bayut.com/for-sale/property/sharjah/al-rahmaniya/,"1,675"
Sharjah,Hoshi,https://www.bayut.com/for-sale/property/sharjah/hoshi/,878
Sharjah,Al Majaz,https://www.bayut.com/for-sale/property/sharjah/al-majaz/,780
Sharjah,Al Tay West,https://www.bayut.com/for-sale/property/sharjah/al-tay-west/,726
Sharjah,Al Tai,https://www.bayut.com/for-sale/property/sharjah/al-tai/,657
Sharjah,Al Suyoh,https://www.bayut.com/for-sale/property/sharjah/al-suyoh/,621
Sharjah,Al Hamriyah,https://www.bayut.com/for-sale/property/sharjah/al-hamriyah/,491
Sharjah,Al Tay East,https://www.bayut.com/for-sale/property/sharjah/al-tay-east/,431
Sharjah,Rodhat Al Sidir,https://www.bayut.com/for-sale/property/sharjah/rodhat-al-sidir/,376
Sharjah,Al Belaida,https://www.bayut.com/for-sale/property/sharjah/al-belaida/,375
Sharjah,Al Taawun,https://www.bayut.com/for-sale/property/sharjah/al-taawun/,352
Sharjah,Al Rifah,https://www.bayut.com/for-sale/property/sharjah/al-rifah/,289
Sharjah,Al Nahda (Sharjah),https://www.bayut.com/for-sale/property/sharjah/al-nahda-sharjah/,202
Sharjah,Al Qasba,https://www.bayut.com/for-sale/property/sharjah/al-qasba/,184
Sharjah,Khor Fakkan,https://www.bayut.com/for-sale/property/sharjah/khor-fakkan/,182
Sharjah,Muzairah,https://www.bayut.com/for-sale/property/sharjah/muzairah/,171
Sharjah,Muwaileh Commercial,https://www.bayut.com/for-sale/property/sharjah/muwaileh-commercial/,164
Sharjah,Al Metraq,https://www.bayut.com/for-sale/property/sharjah/al-metraq/,147
Sharjah,Al Zubair,https://www.bayut.com/for-sale/property/sharjah/al-zubair/,143
Sharjah,Al Riqaibah,https://www.bayut.com/for-sale/property/sharjah/al-riqaibah/,109
